line=791,frame=70097,hold=,char=22
hold=,frame=855,line=11,char=1
hold=,frame=1666,line=20,char=1
hold=,frame=2476,line=29,char=1
hold=,frame=3538,line=39,char=1
hold=,frame=4367,line=47,char=1
hold=,frame=5437,line=56,char=1
hold=,frame=6500,line=64,char=1
hold=,frame=7254,line=72,char=1
hold=,frame=8028,line=81,char=1
hold=,frame=8903,line=90,char=1
hold=,frame=10391,line=109,char=1
hold=,frame=11393,line=120,char=1
hold=,frame=12395,line=135,char=1
hold=,frame=13398,line=146,char=1
hold=,frame=14196,line=155,char=1
hold=,frame=15204,line=164,char=1
hold=,frame=16046,line=171,char=1
hold=,frame=16866,line=180,char=1
hold=,frame=17872,line=188,char=1
hold=,frame=18786,line=197,char=1
hold=,frame=19852,line=207,char=1
hold=,frame=20703,line=215,char=1
hold=,frame=21514,line=220,char=1
line=224,frame=22397,hold=,char=1
hold=,frame=23230,line=228,char=1
hold=,frame=24200,line=232,char=1
hold=,frame=24972,line=246,char=1
hold=,frame=25775,line=257,char=1
hold=,frame=26554,line=266,char=1
hold=,frame=27416,line=275,char=1
hold=,frame=28241,line=288,char=1
hold=,frame=29033,line=296,char=1
hold=,frame=29937,line=303,char=1
hold=,frame=30751,line=312,char=1
hold=,frame=31610,line=320,char=1
hold=,frame=32454,line=328,char=1
hold=,frame=33459,line=340,char=1
hold=,frame=34312,line=349,char=1
hold=,frame=35083,line=358,char=1
hold=,frame=35964,line=367,char=1
hold=,frame=36796,line=377,char=1
hold=,frame=37588,line=385,char=1
hold=,frame=38374,line=395,char=1
hold=,frame=39207,line=404,char=1
hold=,frame=40051,line=412,char=1
hold=,frame=41296,line=421,char=1
hold=,frame=42124,line=430,char=1
hold=,frame=42931,line=439,char=1
hold=,frame=44175,line=448,char=1
hold=,frame=44945,line=456,char=1
hold=,frame=45797,line=465,char=1
hold=,frame=46573,line=474,char=1
hold=,frame=47320,line=495,char=1
hold=,frame=48150,line=504,char=1
hold=,frame=48918,line=513,char=1
hold=,frame=49658,line=524,char=1
hold=,frame=50381,line=533,char=1
hold=,frame=51146,line=557,char=1
hold=,frame=51914,line=567,char=1
hold=,frame=52659,line=576,char=1
hold=,frame=53905,line=588,char=1
hold=,frame=54698,line=598,char=1
hold=,frame=55527,line=607,char=1
hold=,frame=56419,line=616,char=1
hold=,frame=57721,line=625,char=1
line=642,frame=58576,hold=,char=1
hold=,frame=59349,line=652,char=1
hold=,frame=60247,line=662,char=1
hold=,frame=61063,line=671,char=1
hold=,frame=62312,line=687,char=1
hold=,frame=63080,line=696,char=1
hold=,frame=63875,line=704,char=1
hold=,frame=64633,line=712,char=1
hold=,frame=65634,line=728,char=1
hold=,frame=66397,line=738,char=1
hold=,frame=67342,line=748,char=1
hold=,frame=68515,line=759,char=1
line=787,frame=69665,hold=,char=1
line=796,frame=70455,hold=,char=1
hold=,frame=71272,line=812,char=1
hold=,frame=72104,line=822,char=1
line=831,frame=72872,hold=,char=1
line=840,frame=73651,hold=,char=1
hold=,frame=74655,line=851,char=1
line=858,frame=75732,hold=,char=1
line=866,frame=76476,hold=,char=1
hold=,frame=77307,line=874,char=1
hold=,frame=78095,line=898,char=1
line=910,frame=79100,hold=,char=1
hold=,frame=79920,line=917,char=1
